word1,word2,similarity_out_of_4,similarity
car,automobile,3.92,9.8
gem,jewel,3.84,9.6
journey,voyage,3.84,9.6
boy,lad,3.76,9.399999999999999
coast,shore,3.7,9.25
asylum,madhouse,3.61,9.025
magician,wizard,3.5,8.75
midday,noon,3.42,8.55
furnace,stove,3.11,7.7749999999999995
food,fruit,3.08,7.7
bird,cock,3.05,7.625
bird,crane,2.97,7.425000000000001
tool,implement,2.95,7.375
brother,monk,2.82,7.05
lad,brother,1.66,4.1499999999999995
crane,implement,1.68,4.2
journey,car,1.16,2.9
monk,oracle,1.1,2.75
cemetery,woodland,0.95,2.375
food,rooster,0.89,2.225
coast,hill,0.87,2.175
forest,graveyard,0.84,2.1
shore,woodland,0.63,1.575
monk,slave,0.55,1.375
coast,forest,0.42,1.05
lad,wizard,0.42,1.05
chord,smile,0.13,0.325
glass,magician,0.11,0.275
rooster,voyage,0.08,0.2
noon,string,0.008,0.02
