word1,word2,similarity_out_of_7,similarity
hamster,party,1,0.0
bed,sleep,6,8.333333333333334
raspberry,strawberry,6,8.333333333333334
cooking,fruit,5,6.666666666666667
downtown,shopping,4,5.0
drug,wolf,2,1.6666666666666667
colorful,outfit,6,8.333333333333334
burger,mac,5,6.666666666666667
frost,weather,5,6.666666666666667
arch,concrete,2,1.6666666666666667
cactus,leg,2,1.6666666666666667
rice,sushi,6,8.333333333333334
ceiling,room,5,6.666666666666667
action,subway,1,0.0
bench,mask,1,0.0
spring,sunshine,3,3.3333333333333335
breakfast,sitting,4,5.0
collage,exhibition,5,6.666666666666667
fungi,rust,2,1.6666666666666667
monster,shell,3,3.3333333333333335
bloom,dandelion,6,8.333333333333334
orange,strawberry,6,8.333333333333334
bridge,ford,7,10.0
feet,leg,6,8.333333333333334
blossom,petals,6,8.333333333333334
amphibians,frog,6,8.333333333333334
canyon,valley,6,8.333333333333334
grey,white,6,8.333333333333334
patio,washing,1,0.0
lady,sexy,4,5.0
eat,hair,1,0.0
giraffe,harbor,1,0.0
ancient,city,4,5.0
evening,sunny,3,3.3333333333333335
pigeon,round,1,0.0
bloom,plant,5,6.666666666666667
arrow,mural,2,1.6666666666666667
boat,sailing,6,8.333333333333334
eat,underwater,1,0.0
harbor,shore,6,8.333333333333334
craft,note,2,1.6666666666666667
cute,kids,4,5.0
misty,sunset,5,6.666666666666667
bath,washing,7,10.0
skin,skirt,3,3.3333333333333335
sexy,smile,4,5.0
scenery,trail,3,3.3333333333333335
monkeys,pumpkin,3,3.3333333333333335
harbour,town,5,6.666666666666667
dew,parrot,2,1.6666666666666667
ivy,plant,6,8.333333333333334
monkeys,restaurant,1,0.0
bedroom,kitchen,5,6.666666666666667
office,sun,1,0.0
light,neon,7,10.0
cold,flag,1,0.0
mug,vehicle,1,0.0
frost,winter,6,8.333333333333334
family,friends,6,8.333333333333334
nest,stork,6,8.333333333333334
fun,stop,1,0.0
dress,outfit,7,10.0
insects,number,2,1.6666666666666667
pool,swim,6,8.333333333333334
guy,people,7,10.0
pregnant,women,6,8.333333333333334
racing,shirt,3,3.3333333333333335
apple,relaxed,2,1.6666666666666667
bathroom,patio,4,5.0
country,hanging,5,6.666666666666667
blue,shade,5,6.666666666666667
bakery,cake,6,8.333333333333334
puddle,splash,6,8.333333333333334
cliff,shore,5,6.666666666666667
frozen,ice,7,10.0
pub,restaurant,5,6.666666666666667
man,women,5,6.666666666666667
feet,mural,1,0.0
design,orange,1,0.0
owl,rocket,3,3.3333333333333335
explosion,fire,6,8.333333333333334
gasoline,summer,3,3.3333333333333335
red,tea,6,8.333333333333334
evening,time,4,5.0
sunk,sunset,3,3.3333333333333335
paper,railway,1,0.0
dirty,eagle,1,0.0
harbor,harbour,7,10.0
costumes,shirt,5,6.666666666666667
costumes,outfit,6,8.333333333333334
bloom,rose,6,8.333333333333334
parking,photographer,1,0.0
art,drive,2,1.6666666666666667
children,kids,7,10.0
dirt,road,5,6.666666666666667
demolition,skyscraper,4,5.0
car,tongue,1,0.0
automobile,vehicle,6,8.333333333333334
circle,snake,2,1.6666666666666667
grey,orange,6,8.333333333333334
raspberry,written,1,0.0
jean,skirt,5,6.666666666666667
coast,harbour,6,8.333333333333334
porch,stairs,4,5.0
dude,husky,1,0.0
animals,candy,2,1.6666666666666667
cooking,noodles,6,8.333333333333334
lamb,lantern,1,0.0
city,urban,6,8.333333333333334
strawberry,sweet,5,6.666666666666667
moon,mushrooms,1,0.0
family,living,4,5.0
pool,rust,3,3.3333333333333335
arms,caterpillars,3,3.3333333333333335
children,school,5,6.666666666666667
room,sitting,5,6.666666666666667
banana,cherry,5,6.666666666666667
feel,time,2,1.6666666666666667
ship,sunk,6,8.333333333333334
eggs,family,1,0.0
family,old,2,1.6666666666666667
puddle,rain,6,8.333333333333334
design,muscle,1,0.0
diner,muscle,1,0.0
asphalt,road,6,8.333333333333334
pole,weather,1,0.0
played,signed,2,1.6666666666666667
belly,dance,5,6.666666666666667
crochet,knitting,7,10.0
boat,harbour,6,8.333333333333334
dew,sunshine,1,0.0
collar,skirt,2,1.6666666666666667
mist,sunshine,3,3.3333333333333335
downtown,metro,5,6.666666666666667
lunch,sunny,4,5.0
hot,sunny,6,8.333333333333334
colour,pink,6,8.333333333333334
piano,wolf,1,0.0
daffodils,purple,5,6.666666666666667
flight,owl,5,6.666666666666667
alley,bloom,1,0.0
camera,photography,6,8.333333333333334
grey,pink,6,8.333333333333334
pets,puppy,7,10.0
pyramid,swimsuit,1,0.0
dome,interior,5,6.666666666666667
bread,dessert,4,5.0
sand,shore,6,8.333333333333334
sitting,sleep,5,6.666666666666667
line,temple,1,0.0
apple,dessert,5,6.666666666666667
autumn,shade,4,5.0
gymnastics,sports,7,10.0
city,downtown,7,10.0
evening,morning,6,8.333333333333334
cloud,droplets,5,6.666666666666667
book,illustrations,5,6.666666666666667
dragonfly,hummingbird,5,6.666666666666667
pattern,pier,2,1.6666666666666667
reptiles,vacation,2,1.6666666666666667
skateboard,swimsuit,3,3.3333333333333335
smile,walk,1,0.0
star,storm,2,1.6666666666666667
run,train,4,5.0
tall,wool,1,0.0
construction,interior,4,5.0
color,shade,4,5.0
gasoline,pepper,1,0.0
van,vine,1,0.0
dandelion,stand,1,0.0
coins,musicians,1,0.0
foliage,tulip,5,6.666666666666667
guy,rusty,2,1.6666666666666667
desert,road,4,5.0
ruins,skyline,3,3.3333333333333335
lego,rodents,2,1.6666666666666667
fruit,potatoes,4,5.0
couple,posted,1,0.0
snow,sunny,4,5.0
station,underground,5,6.666666666666667
christmas,valentine,6,8.333333333333334
birds,flamingo,6,8.333333333333334
skyline,skyscraper,7,10.0
blue,dark,6,8.333333333333334
sand,sea,5,6.666666666666667
color,violet,6,8.333333333333334
cemetery,gravestone,6,8.333333333333334
lunch,morning,3,3.3333333333333335
leather,rope,3,3.3333333333333335
colorful,frame,4,5.0
lips,run,1,0.0
airport,traffic,5,6.666666666666667
handle,tram,4,5.0
eat,truck,1,0.0
aircraft,airplane,7,10.0
railway,subway,7,10.0
lunch,sitting,4,5.0
grey,yellow,6,8.333333333333334
shade,whale,3,3.3333333333333335
door,locked,6,8.333333333333334
buds,flowers,6,8.333333333333334
hamster,locked,1,0.0
nude,painting,5,6.666666666666667
fun,lego,5,6.666666666666667
beef,pepper,4,5.0
cold,sun,4,5.0
misty,sunrise,3,3.3333333333333335
foliage,garden,5,6.666666666666667
goose,stencil,1,0.0
hanging,sitting,6,8.333333333333334
