word1,word2,similarity_out_of_4,similarity
cord,smile,0.02,0.05
rooster,voyage,0.04,0.1
noon,string,0.04,0.1
fruit,furnace,0.05,0.125
autograph,shore,0.06,0.15
automobile,wizard,0.11,0.275
mound,stove,0.14,0.35000000000000003
grin,implement,0.18,0.44999999999999996
asylum,fruit,0.19,0.475
asylum,monk,0.39,0.9750000000000001
graveyard,madhouse,0.42,1.05
glass,magician,0.44,1.1
boy,rooster,0.44,1.1
cushion,jewel,0.45,1.125
monk,slave,0.57,1.4249999999999998
asylum,cemetery,0.79,1.975
coast,forest,0.85,2.125
grin,lad,0.88,2.2
shore,woodland,0.9,2.25
monk,oracle,0.91,2.275
boy,sage,0.96,2.4
automobile,cushion,0.97,2.425
mound,shore,0.97,2.425
lad,wizard,0.99,2.475
forest,graveyard,1.0,2.5
food,rooster,1.09,2.725
cemetery,woodland,1.18,2.9499999999999997
shore,voyage,1.22,3.05
bird,woodland,1.24,3.1
coast,hill,1.26,3.15
furnace,implement,1.37,3.4250000000000003
crane,rooster,1.41,3.525
hill,woodland,1.48,3.7
car,journey,1.55,3.875
cemetery,mound,1.69,4.225
glass,jewel,1.78,4.45
magician,oracle,1.82,4.55
crane,implement,2.37,5.925000000000001
brother,lad,2.41,6.025
sage,wizard,2.46,6.15
oracle,sage,2.61,6.5249999999999995
bird,crane,2.63,6.574999999999999
bird,cock,2.63,6.574999999999999
food,fruit,2.69,6.725
brother,monk,2.74,6.8500000000000005
asylum,madhouse,3.04,7.6
furnace,stove,3.11,7.7749999999999995
magician,wizard,3.21,8.025
hill,mound,3.29,8.225
cord,string,3.41,8.525
glass,tumbler,3.45,8.625
grin,smile,3.46,8.65
serf,slave,3.46,8.65
journey,voyage,3.58,8.95
autograph,signature,3.59,8.975
coast,shore,3.6,9.0
forest,woodland,3.65,9.125
implement,tool,3.66,9.15
cock,rooster,3.68,9.200000000000001
boy,lad,3.82,9.549999999999999
cushion,pillow,3.84,9.6
cemetery,graveyard,3.88,9.7
automobile,car,3.92,9.8
midday,noon,3.94,9.85
gem,jewel,3.94,9.85
