word1,word2,similarity,which_set?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
love,sex,6.769999980926514,set1,9.0,6.0,8.0,8.0,7.0,8.0,8.0,4.0,7.0,2.0,6.0,7.0,8.0,,,
tiger,cat,7.349999904632568,set1,9.0,7.0,8.0,7.0,8.0,9.0,8.5,5.0,6.0,9.0,7.0,5.0,7.0,,,
tiger,tiger,10.0,set1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
book,paper,7.460000038146973,set1,8.0,8.0,7.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,9.0,4.0,9.0,,,
computer,keyboard,7.619999885559082,set1,8.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,8.0,10.0,3.0,9.0,,,
computer,internet,7.579999923706055,set1,8.0,6.0,9.0,8.0,8.0,8.0,7.5,7.0,7.0,7.0,9.0,5.0,9.0,,,
plane,car,5.769999980926514,set1,6.0,6.0,7.0,5.0,3.0,6.0,7.0,6.0,6.0,6.0,7.0,3.0,7.0,,,
train,car,6.309999942779541,set1,7.0,7.5,7.5,5.0,3.0,6.0,7.0,6.0,6.0,6.0,9.0,4.0,8.0,,,
telephone,communication,7.5,set1,7.0,6.5,8.0,8.0,6.0,8.0,8.0,7.0,5.0,9.0,9.0,8.0,8.0,,,
television,radio,6.769999980926514,set1,7.0,7.5,9.0,7.0,3.0,6.0,7.0,8.0,5.5,6.0,8.0,6.0,8.0,,,
media,radio,7.420000076293945,set1,7.0,7.0,8.5,9.0,6.0,7.0,7.0,7.0,5.0,7.0,10.0,8.0,8.0,,,
drug,abuse,6.849999904632568,set1,7.0,5.5,8.0,10.0,7.0,9.0,7.0,7.0,4.0,5.0,8.5,4.0,7.0,,,
bread,butter,6.190000057220459,set1,6.0,5.5,8.0,9.0,6.0,8.0,7.0,5.0,6.0,4.0,4.0,3.0,9.0,,,
cucumber,potato,5.920000076293945,set1,7.0,7.5,7.0,6.0,4.0,6.0,6.5,4.0,6.0,4.0,5.0,6.0,8.0,,,
doctor,nurse,7.0,set1,7.0,8.0,9.0,7.0,5.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,,,
professor,doctor,6.619999885559082,set1,6.0,7.5,8.0,7.0,4.0,6.0,8.5,6.0,7.0,3.0,6.0,9.0,8.0,,,
student,professor,6.809999942779541,set1,6.0,8.0,9.0,6.0,4.0,8.0,7.5,8.0,6.0,3.0,8.0,7.0,8.0,,,
smart,student,4.619999885559082,set1,5.0,6.0,5.0,2.0,4.0,6.0,5.0,7.0,4.0,3.0,3.0,5.0,5.0,,,
smart,stupid,5.809999942779541,set1,3.0,7.0,9.0,9.0,5.0,8.0,6.0,0.0,6.5,3.0,5.0,7.0,7.0,,,
company,stock,7.079999923706055,set1,6.0,8.0,9.0,9.0,4.0,8.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,,,
stock,market,8.079999923706055,set1,8.0,9.0,9.5,8.0,5.0,9.0,9.0,9.0,7.0,8.0,7.5,7.0,9.0,,,
stock,phone,1.6200000047683716,set1,3.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,,,
stock,CD,1.309999942779541,set1,2.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,,,
stock,jaguar,0.9200000166893005,set1,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,,,
stock,egg,1.809999942779541,set1,5.0,1.5,0.0,1.0,3.0,0.0,0.0,2.0,2.0,3.0,1.0,5.0,0.0,,,
fertility,egg,6.690000057220459,set1,7.0,8.0,8.0,7.0,4.0,8.0,8.0,8.0,6.0,9.0,2.0,6.0,6.0,,,
stock,live,3.7300000190734863,set1,8.0,5.5,6.0,1.0,4.0,5.0,0.0,0.0,1.0,6.0,2.0,3.0,7.0,,,
stock,life,0.9200000166893005,set1,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,,
book,library,7.460000038146973,set1,8.0,9.0,8.0,9.0,5.0,9.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,,,
bank,money,8.119999885559082,set1,8.0,9.0,9.5,9.0,5.0,9.0,8.0,9.0,6.0,9.0,9.0,8.0,7.0,,,
